"id","learner_id","responded_at","archetype"
"456752","039e8a3b-d7f3-4294-9288-4d3cdc8a9759","2017-11-19 15:24:30 UTC","Hobbyists"
"457938","66963dc8-90df-4091-8b4c-7a6ea919e2b4","2017-11-19 17:42:01 UTC","Hobbyists"
"458282","b42bd91c-a494-4de2-957c-40d489ddc302","2017-11-19 22:09:47 UTC","Hobbyists"
"458771","18b38993-fb78-4597-9f5b-33ec3c2f4f70","2017-11-19 19:14:05 UTC","Vitalisers"
"459383","d9822080-30b5-419a-a0af-23fe581125fd","2017-11-21 18:47:33 UTC","Flourishers"
"459491","178ab983-8786-4c2b-a395-86b45ef14353","2017-11-19 22:19:54 UTC","Vitalisers"
"459494","cda9fdf9-40a7-47ef-b02e-92c6de3c5491","2017-11-19 20:46:19 UTC","Advancers"
"460311","f347d42e-8940-4744-93fd-d43e9f2ef4c1","2017-11-19 22:31:29 UTC","Explorers"
"460711","279d3002-b51c-4b5a-b1f6-367c4f72d886","2017-11-20 11:24:02 UTC","Fixers"
"464363","5ba2aadb-65ad-4153-8bce-a782713b04e1","2017-11-20 10:19:37 UTC","Hobbyists"
"471287","e61398c5-e965-4d13-9add-fe5e5f330ae3","2017-11-20 18:03:11 UTC","Explorers"
"474772","868ca0df-a3b6-4e10-aae2-929aa27b3703","2017-11-21 20:38:25 UTC","Vitalisers"
"475372","12438211-1c21-4f98-bcc3-fc402723e91b","2017-11-20 21:57:36 UTC","Advancers"
"476348","072b646c-836a-47af-9374-6c63b502adb4","2017-12-16 23:35:20 UTC","Fixers"
"478801","3e7dae2e-5d6b-47ef-b856-751cf1fcb6ca","2017-11-21 07:56:09 UTC","Vitalisers"
"482370","8e8a8fe1-9002-4f3e-baca-74dd87744da4","2017-11-21 14:24:05 UTC","Other"
"482462","2f1e5d87-cbeb-4bf6-a461-d49bf0823f0b","2017-11-21 16:13:22 UTC","Explorers"
"484722","cb5e0334-e633-43e2-903f-110a5168e192","2017-12-05 07:37:17 UTC","Advancers"
"488778","8b97b287-a1ef-4e8e-867b-ab24e1f9d365","2017-11-22 11:38:52 UTC","Explorers"
"491901","f78b90cf-febe-4962-8d5b-84315e5d7abe","2017-12-28 09:06:00 UTC","Advancers"
"493251","8d69aba8-bd28-44ad-9809-d505bfb601a8","2017-11-23 14:17:22 UTC","Explorers"
"494758","6001ca2a-3b1c-494f-9f32-60e596c36ce1","2017-11-22 21:26:49 UTC","Vitalisers"
"496329","6f84a45c-6574-4ece-88a7-58e4427aac0f","2017-11-23 14:05:52 UTC","Explorers"
"499969","144b1a9b-1d26-402d-ba5e-ebec424524e7","2017-11-23 14:37:40 UTC","Other"
"500090","c4305ac7-85d2-419d-bfea-ff957c8d936d","2017-11-23 14:58:57 UTC","Other"
"500313","b658f921-3c9c-42ce-9013-fd2b29a1d7f7","2017-11-23 15:20:23 UTC","Other"
"502252","c1f40751-3ed1-4ea7-b16a-3d5ab24f633d","2017-11-23 20:05:31 UTC","Advancers"
"507225","472dc76c-c69e-4cb8-b5ee-bbf5da1cda0f","2017-11-24 13:57:51 UTC","Advancers"
"508212","65a57163-5ddf-40a9-8b33-08ed214e64c9","2017-11-24 16:14:28 UTC","Hobbyists"
"511880","b8a5fe50-fab7-4fd5-ad7c-154dcdaf8221","2017-11-25 08:57:45 UTC","Vitalisers"
"514762","6a721640-79b9-4352-9ad4-5a95c7887fcb","2017-11-25 19:27:28 UTC","Explorers"
"515007","32512370-7e6d-4983-afb0-e3f81b06caf6","2017-11-26 12:59:13 UTC","Vitalisers"
"519518","4417a73b-0e1f-4c56-8564-f507d732c275","2017-11-26 12:16:11 UTC","Preparers"
"519854","b1894713-4998-4b27-9ff4-91a4cbf5ffdc","2017-11-26 13:10:24 UTC","Preparers"
"520528","1d17ac81-b8cf-42e3-b681-9cd0faf2a577","2017-11-26 14:48:02 UTC","Fixers"
"522835","597eda50-6c93-4cc3-b936-ca7f8a3e0117","2017-11-26 21:31:30 UTC","Advancers"
"523301","3de9c0a9-9dcf-4169-b1d9-71f795afe2fa","2017-11-29 15:07:45 UTC","Explorers"
"524217","743ce1c0-171b-4518-bf13-73f1d6cae1f7","2017-11-27 16:40:06 UTC","Advancers"
"527426","6a788ebc-067d-49b1-a09f-81c25b9d45b6","2017-11-27 13:35:19 UTC","Advancers"
"528891","b8347735-0811-4e25-aecb-0619d2568fd3","2017-11-28 06:52:43 UTC","Advancers"
"532994","d76b8682-7c9d-4c1c-a68e-65653d84a857","2017-11-27 21:43:38 UTC","Vitalisers"
"533435","64601301-8f97-4224-81f3-b07279bafabe","2017-11-27 22:40:59 UTC","Hobbyists"
"535299","b093709c-ea92-4ec5-849c-d6e7f9f959e4","2017-11-28 08:15:27 UTC","Fixers"
"539600","dbf3059d-aa9a-4bde-88cd-e8611cedac67","2017-11-28 18:18:53 UTC","Explorers"
"539702","b58e2472-4989-49cd-b7fc-1c75aaa99e65","2017-11-28 17:22:20 UTC","Advancers"
"541232","3c898f65-ecd5-4fcd-a54d-b119e84b8bbe","2017-11-28 21:11:30 UTC","Explorers"
"543207","307a085e-b29b-43d0-aeb4-88fab233a3a6","2017-11-29 06:16:15 UTC","Explorers"
"543605","6499a091-2bc0-4d39-9a09-09847df17f3f","2017-11-29 08:00:36 UTC","Vitalisers"
"545260","fc383178-51e6-4c46-8064-d9c97f37d476","2017-11-29 14:53:55 UTC","Fixers"
"546438","65287b5b-f271-4ac1-b443-1faa29c148a3","2017-12-01 12:29:02 UTC","Advancers"
"550358","2eaaf4aa-2384-4e55-a514-fefa73e38dc8","2017-11-29 22:45:07 UTC","Explorers"
"552583","32d1c098-cac2-45f2-8632-ce0bdcfd04d5","2017-11-30 08:23:50 UTC","Flourishers"
"553035","2675bd85-32a7-4b2b-a76c-f2096ccdd447","2018-01-15 07:38:34 UTC","Fixers"
"553430","8e949f56-f584-4260-8715-485166a5eff1","2017-11-30 10:25:48 UTC","Explorers"
"554832","6bca393f-eaed-41ec-942b-1793b2f48a47","2017-11-30 13:37:39 UTC","Advancers"
"555380","fde961e5-8e4c-410b-9a8f-43c237590e7c","2017-11-30 21:17:50 UTC","Advancers"
"556227","04f19d3c-a481-45ab-b1b2-9fd74124ff1b","2017-12-01 20:12:13 UTC","Other"
"559450","4d0bfba1-6e46-4a5d-8b9d-edebcec9e532","2017-12-01 11:41:32 UTC","Preparers"
"560327","6d7ec2b6-a7b6-4f2d-9cbc-76f154c30cef","2017-12-01 12:41:59 UTC","Other"
"561052","7266ceb4-8225-469c-897d-539fe4f2f16b","2017-12-18 04:46:18 UTC","Vitalisers"
"562524","42ef6780-e5d2-484d-bea7-ea07494436b2","2017-12-02 02:44:28 UTC","Preparers"
"566702","caa4af85-59b4-4f76-9bdf-f76c3e4212e4","2017-12-02 13:28:31 UTC","Explorers"
"567464","bf0a367d-2c59-43bf-90bf-0323ca0202a1","2017-12-02 14:35:33 UTC","Explorers"
"576533","3ec69ca7-0c69-47a8-a038-6eba324964ed","2017-12-04 03:32:26 UTC","Other"
"581081","29148793-2512-46d2-9a68-2dba1014b3e9","2017-12-04 14:09:54 UTC","Advancers"
"581877","1fc6bea6-aede-4b4f-8e4f-b643444bd444","2017-12-19 06:14:11 UTC","Advancers"
"582699","4ceee55c-099c-4cd1-9069-bf94636744e2","2017-12-04 16:38:02 UTC","Explorers"
"589645","1a818bcb-d057-4cfa-93e2-4055c36dd947","2017-12-05 01:00:00 UTC","Fixers"
"589822","9a0b8a79-8cc2-451d-a7ee-a59e22e86a4b","2017-12-05 01:33:14 UTC","Advancers"
"590344","cc79cfa7-f299-4e39-aaff-868a915ed80f","2017-12-06 16:59:39 UTC","Advancers"
"591846","0ad52718-3d12-4e7f-9120-ce40bc895d03","2017-12-05 12:26:42 UTC","Vitalisers"
"592015","404217d0-8935-4309-b235-f8681bf5998c","2017-12-07 08:48:55 UTC","Advancers"
"598161","0add3cc4-f73d-4b5f-bbdd-1c4a66aa60ac","2017-12-05 23:14:59 UTC","Preparers"
"599602","ce9dfa10-bf2f-49e2-a376-f601163f0d8b","2017-12-06 12:46:40 UTC","Fixers"
"602393","48a493c4-e56b-41df-aada-5ccf036aae6f","2017-12-06 14:25:56 UTC","Explorers"
"602498","518b90a0-7552-44f8-844f-a37fa9877735","2017-12-07 11:13:51 UTC","Flourishers"
"602539","b5706776-8959-4af4-bfd6-a6b7696b1828","2017-12-06 14:55:14 UTC","Advancers"
"611785","196d8659-2473-4492-a750-6f2add3d5035","2017-12-28 14:12:04 UTC","Advancers"
"614746","d2c616ba-6006-4c8e-a26f-b67b3fa3e708","2017-12-18 15:43:52 UTC","Other"
"615256","41b36911-6bba-4c22-98e0-f90c9ba087b0","2017-12-08 16:23:21 UTC","Vitalisers"
"620625","c956055f-299c-4b22-8d1f-320bbf8b10ff","2017-12-09 18:00:13 UTC","Explorers"
"621299","e682a3e0-04c0-41d6-8cea-9b5b06d98cc0","2017-12-31 13:01:03 UTC","Advancers"
"623806","93fa0bc1-7658-4a85-ba14-811dad4d63f2","2017-12-10 12:28:30 UTC","Preparers"
"624423","dad85275-b6f4-4a94-827c-bb7768cbe602","2017-12-25 08:35:07 UTC","Preparers"
"626065","9df3a09e-b8e7-4d5e-be90-679bc38cb505","2017-12-11 07:08:36 UTC","Preparers"
"626222","cd9f9e6d-e39d-4f08-87fd-244e35fdabeb","2017-12-10 22:41:28 UTC","Advancers"
"627900","c2bbc090-c6e6-4805-bddd-c4db6a85ed33","2017-12-11 06:02:48 UTC","Vitalisers"
"628908","458308b0-9a4f-45af-a36b-d7b85ebf02b0","2017-12-11 09:36:48 UTC","Preparers"
"633822","0969960f-6f17-4ea9-bd69-e30130bc8a6c","2017-12-14 15:56:47 UTC","Vitalisers"
